index,BOX
4/1/2011,149.92
5/1/2011,151.21
6/1/2011,152.25
7/1/2011,151.99
8/1/2011,151.52
9/1/2011,151.35
10/1/2011,151.39
11/1/2011,150.66
12/1/2011,149.76
1/1/2012,150.04
2/1/2012,149.66
3/1/2012,150.09
4/1/2012,149.94
5/1/2012,150.75
6/1/2012,152.13
7/1/2012,153.31
8/1/2012,154.14
9/1/2012,154.13
10/1/2012,153.87
11/1/2012,154.07
12/1/2012,155.23
1/1/2013,156.19
2/1/2013,157.57
3/1/2013,160
4/1/2013,162.04
5/1/2013,161.86
6/1/2013,162.28
7/1/2013,162.94
8/1/2013,163.93
9/1/2013,165.65
10/1/2013,167.13
11/1/2013,169.2
12/1/2013,170.31
1/1/2014,170.52
2/1/2014,170.98
3/1/2014,172.96
4/1/2014,176.71
5/1/2014,175.22
6/1/2014,173.64
7/1/2014,172.23
8/1/2014,172.23
9/1/2014,173.13
10/1/2014,174.49
11/1/2014,175.88
12/1/2014,176.8
1/1/2015,178.6
